N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,4.334375,269494.0,0.0,2.9259939276508735,9723.0,0.0,0.10556613118863294,123478.0,0.0,1.3406453509112433,2.4708664E7,0.0,268.27091076003825
20000,43.73225,579788.0,0.0,2.9271910371186634,19628.0,0.0,0.0990964036450653,267135.0,0.0,1.348691552258229,9.9813338E7,0.0,503.9302441211196
40000,12.591834,1239464.0,0.0,2.9241925177642214,39339.0,0.0,0.09281012555130823,574149.0,0.0,1.3545550414387266,3.97758547E8,0.0,938.407704470778
80000,27.236668,2636820.0,0.0,2.9194762354205954,77823.0,0.0,0.08616530482518223,1228192.0,0.0,1.3598491199754599,1.596868975E9,0.0,1768.0467470638669
160000,61.074583,5595396.0,0.0,2.9184204233404207,156242.0,0.0,0.0814919701453756,2616620.0,0.0,1.3647643970366015,2.114309484E9,0.0,1102.7716321361252
