N,Time,hits:Mean,hits:StdDev,hits:NormalizedMean,swaps:Mean,swaps:StdDev,swaps:NormalizedMean,compares:Mean,compares:StdDev,compares:NormalizedMean,fixes:Mean,fixes:StdDev,fixes:NormalizedMean
10000,299.078333,967774.0,0.0,10.50747269823594,124220.0,0.0,1.3487015135505485,235447.0,0.0,2.556333322016873,7.5258646E7,0.0,817.1103668327559
20000,1103.679041,2095914.0,0.0,10.581696543170136,268545.0,0.0,1.3558102566162658,510867.0,0.0,2.5792277583525363,3.02960066E8,0.0,1529.5625121597527
40000,4540.754291,4509038.0,0.0,10.637900884506971,576645.0,0.0,1.3604437034122405,1101229.0,0.0,2.5980630354290044,1.211915092E9,0.0,2859.1980438253454
80000,19008.750792,9659592.0,0.0,10.695060447000138,1233468.0,0.0,1.3656906854285735,2362860.0,0.0,2.6161488526429215,5.47373032E8,0.0,606.0491648402686
160000,76766.392791,2.060098E7,0.0,10.74496260368838,2627215.0,0.0,1.37029048748405,5046060.0,0.0,2.6319003268760897,-2.098389942E9,0.0,-1094.4683920253224
